user_id,champion,score
1,샤코,25.84
1,브랜드,10.01
1,제라스,2.97
4,유미,57.72
4,밀리오,31.8
4,케이틀린,33.06
4,이즈리얼,23.92
4,럭스,20.91
4,미스포츈,19.2
4,소라카,19.2
4,룰루,18.02
4,세라핀,18.9
4,카르마,13.0
4,나미,10.07
4,진,10.98
4,애쉬,5.04
4,노틸러스,7.02
4,징크스,2.97
5,진,29.12
5,워윅,21.93
6,카이사,17.92
6,자야,11.0
6,애쉬,11.04
6,제리,1.04
6,바루스,0.99
7,요네,25.96
7,리신,17.92
7,징크스,10.92
7,오리아나,8.93
7,이렐리아,10.08
7,카이사,9.01
7,사일러스,10.08
7,칼리스타,7.98
7,야스오,6.96
7,제드,6.05
9,리신,9.0
9,트위스티드페이트,10.03
9,그레이브즈,5.98
9,아트록스,4.94
9,오리아나,4.95
10,알리스타,84.5
10,노틸러스,9.0
10,레오나,7.0
11,사일러스,21.08
11,그웬,12.1
11,비에고,8.03
13,우르곳,56.43
13,럼블,22.8
13,레넥톤,17.92
14,제드,31.92
14,아칼리,30.08
14,탈론,18.87
14,사일러스,9.03
14,리신,8.96
14,피즈,8.96
15,야스오,32.24
15,요네,15.99
15,이즈리얼,15.95
15,리신,8.0
15,르블랑,14.08
15,바루스,5.98
15,아트록스,5.04
16,카타리나,7.95
16,키아나,8.96
17,카이사,124.95
17,이즈리얼,59.36
17,진,50.5
17,자야,41.28
17,아리,22.09
17,애쉬,21.12
17,알리스타,14.0
17,케이틀린,7.99
17,노틸러스,7.95
17,라칸,7.95
18,케일,132.55
19,아트록스,34.32
19,아칼리,19.08
19,제이스,17.0
19,사일러스,9.0
19,케이틀린,9.94
19,아지르,8.04
19,비에고,3.0
19,요네,6.05
20,카이사,20.9
20,자야,11.02
21,카이사,24.0
21,이즈리얼,14.03
21,아트록스,12.98
21,사일러스,7.99
21,사미라,7.98
21,제리,8.06
21,자야,5.04
21,루시안,8.03
22,마스터이,55.62
22,야스오,14.85
22,아트록스,11.96
22,비에고,9.03
22,벨베스,3.96
23,알리스타,15.0
24,세트,193.45
26,이즈리얼,40.42
26,진,47.2
26,브라이어,34.02
26,카이사,27.9
26,미스포츈,24.99
26,블리츠크랭크,20.06
26,징크스,12.9
26,쓰레쉬,9.89
26,요네,10.92
26,사일러스,6.02
26,아무무,5.98
27,스웨인,58.28
27,카이사,32.76
27,미스포츈,25.9
27,이즈리얼,12.96
27,진,12.0
27,직스,7.04
28,오리아나,13.86
28,자야,16.9
28,이즈리얼,12.96
28,카이사,7.05
28,케이틀린,8.97
28,칼리스타,9.02
30,사미라,18.09
30,카이사,6.96
30,이즈리얼,5.04
30,요네,7.04
31,카직스,30.16
31,자르반4세,8.0
31,에코,10.05
31,그레이브즈,5.98
31,바이,3.96
32,유미,82.08
32,룰루,66.15
32,소라카,63.21
32,카르마,19.2
32,밀리오,4.96
